,d
1182,-28838.5
1183,-29360.0
1184,-32049.0
1185,-35591.5
1186,-37578.5
1187,-38681.5
1188,-39404.5
1189,-38882.0
1190,-38497.0
1191,-38715.5
1192,-40055.0
1193,-43737.5
1194,-46204.0
1195,-44730.5
1196,-42586.5
1197,-39433.0
1198,-36218.0
1199,-32654.0
1200,-32494.5
1201,-32015.5
1202,-31306.5
1203,-30712.5
1204,-29922.0
1205,-31009.0
1206,-36571.0
1207,-42427.0
1208,-44684.5
1209,-46438.0
1210,-46577.5
1211,-46609.0
1212,-46462.0
1213,-45908.0
1214,-45632.0
1215,-45559.5
1216,-47226.5
1217,-49951.5
1218,-50641.0
1219,-48847.5
1220,-45741.5
1221,-41771.5
1222,-37092.0
1223,-32990.5
1224,-32628.5
1225,-32084.0
1226,-31434.5
1227,-30736.0
1228,-29918.5
1229,-30955.5
1230,-36493.0
1231,-42150.5
1232,-43650.0
1233,-44561.5
1234,-44448.5
1235,-44568.0
1236,-44365.5
1237,-44006.5
1238,-43713.5
1239,-43724.0
1240,-45453.5
1241,-48442.5
1242,-49755.0
1243,-47682.0
1244,-44572.5
1245,-40782.5
1246,-36439.0
1247,-32462.5
1248,-31790.5
1249,-31104.0
1250,-30198.0
1251,-29242.5
1252,-28335.5
1253,-29415.0
1254,-34996.5
1255,-41009.0
1256,-42892.5
1257,-44112.5
1258,-44349.5
1259,-44746.0
1260,-45073.5
1261,-44998.5
1262,-45017.0
1263,-44929.0
1264,-46678.5
1265,-49106.5
1266,-49289.5
1267,-47402.5
1268,-44246.5
1269,-40385.0
1270,-36192.5
1271,-32434.0
1272,-32088.0
1273,-31652.0
1274,-30433.0
1275,-29409.0
1276,-28576.5
1277,-29699.0
1278,-35002.5
1279,-40509.0
1280,-42010.0
1281,-42877.0
1282,-42935.5
1283,-42806.5
1284,-42494.5
1285,-41848.0
1286,-41300.0
1287,-41020.0
1288,-42424.0
1289,-45037.0
1290,-47578.5
1291,-45529.5
1292,-42772.5
1293,-39303.0
1294,-35204.0
1295,-31527.5
1296,-30884.5
1297,-30068.0
1298,-28929.5
1299,-27909.5
1300,-27168.5
1301,-28329.0
1302,-33586.0
1303,-39248.0
1304,-41154.0
1305,-42011.0
1306,-42075.5
1307,-42080.5
1308,-42019.5
1309,-41207.0
1310,-40788.5
1311,-40371.0
1312,-41800.0
1313,-44550.5
1314,-46632.0
1315,-44552.0
1316,-41552.0
1317,-38312.5
1318,-34962.0
1319,-32001.5
1320,-31630.0
1321,-30536.0
1322,-29189.5
1323,-28065.0
1324,-27062.0
1325,-27009.0
1326,-29075.5
1327,-31244.0
1328,-34644.5
1329,-37203.5
1330,-37800.0
1331,-37889.5
1332,-37464.0
1333,-36371.0
1334,-35728.5
1335,-35448.5
1336,-36567.5
1337,-39735.0
1338,-43246.5
1339,-41430.5
1340,-38911.5
1341,-36229.0
1342,-33625.5
1343,-31281.0
1344,-31201.0
1345,-29941.0
1346,-28747.0
1347,-27730.5
1348,-26495.5
1349,-26467.0
1350,-27600.5
1351,-28493.5
1352,-31464.0
1353,-34437.0
1354,-36316.0
1355,-36855.5
1356,-37308.5
1357,-36683.5
1358,-36131.0
1359,-36305.0
1360,-37730.0
1361,-40881.5
1362,-43470.5
1363,-42202.5
1364,-39662.0
1365,-36670.5
1366,-33242.5
1367,-30074.0
1368,-29903.0
1369,-29191.0
1370,-28383.5
1371,-27477.0
1372,-26764.5
1373,-28127.5
1374,-33840.5
1375,-39813.0
1376,-41918.5
1377,-43294.0
1378,-43749.0
1379,-44049.5
1380,-44412.5
1381,-44060.0
1382,-44040.5
1383,-43910.0
1384,-45698.0
1385,-48192.5
1386,-49258.0
1387,-46822.0
1388,-43578.5
1389,-39923.0
1390,-35458.0
1391,-31546.0
1392,-31076.0
1393,-30297.5
1394,-29266.5
1395,-28286.0
1396,-27554.5
1397,-29013.0
1398,-34491.0
1399,-40154.5
1400,-42215.5
1401,-43147.0
1402,-43191.5
1403,-43468.0
1404,-43401.0
1405,-42864.0
1406,-42514.5
1407,-42592.5
1408,-44318.0
1409,-46796.0
1410,-48882.0
1411,-46951.0
1412,-43871.5
1413,-40046.0
1414,-35899.5
1415,-31993.0
1416,-31267.0
1417,-30652.0
1418,-29442.5
1419,-28435.0
1420,-27727.0
1421,-28880.5
1422,-34463.5
1423,-40168.5
1424,-42105.0
1425,-43000.0
1426,-43183.0
1427,-43258.5
1428,-43031.5
1429,-42269.0
1430,-41778.5
1431,-41459.5
1432,-42888.0
1433,-45019.5
1434,-48201.0
1435,-46629.5
1436,-43794.5
1437,-40178.5
1438,-36081.5
1439,-31986.5
1440,-31334.5
1441,-30539.0
1442,-29437.0
1443,-28416.5
1444,-27824.0
1445,-29333.0
1446,-34646.5
1447,-40336.5
1448,-41999.5
1449,-42816.5
1450,-42705.0
1451,-42437.0
1452,-42051.5
1453,-41524.0
1454,-41047.5
1455,-40951.5
1456,-42592.0
1457,-44717.5
1458,-48172.5
1459,-46667.0
1460,-43826.5
1461,-40270.0
1462,-36040.5
1463,-32281.0
1464,-31634.0
1465,-30824.0
1466,-29704.0
1467,-28709.0
1468,-28089.5
1469,-29299.5
1470,-34667.0
1471,-40501.0
1472,-42553.0
1473,-43500.5
1474,-43406.0
1475,-43215.5
1476,-42882.5
1477,-42080.0
1478,-41519.0
1479,-41091.5
1480,-42674.0
1481,-44641.0
1482,-47093.5
1483,-45016.0
1484,-41995.5
1485,-38435.0
1486,-35264.0
1487,-32096.0
1488,-31405.0
1489,-30276.0
1490,-28897.5
1491,-27495.5
1492,-26394.0
1493,-26455.5
1494,-28581.0
1495,-30991.5
1496,-34753.0
1497,-37549.0
1498,-38161.5
1499,-37715.0
1500,-37285.5
1501,-36128.0
1502,-34887.5
1503,-34498.0
1504,-35522.5
1505,-38645.0
1506,-42524.0
1507,-41143.5
1508,-38432.0
1509,-35845.5
1510,-33582.0
1511,-31123.5
1512,-30623.5
1513,-29359.0
1514,-28080.5
1515,-26846.5
1516,-25947.5
1517,-25960.0
1518,-26960.0
1519,-27983.0
1520,-31323.5
1521,-34988.5
1522,-37550.5
1523,-38859.0
1524,-39785.0
1525,-39227.5
1526,-38670.5
1527,-38505.0
1528,-39134.0
1529,-41008.0
1530,-44053.0
1531,-42750.0
1532,-40583.0
1533,-37588.0
1534,-34241.5
1535,-30650.0
1536,-30162.5
1537,-29605.0
1538,-29316.5
1539,-28584.0
1540,-28015.5
1541,-29188.5
1542,-35043.5
1543,-40972.5
1544,-42996.0
1545,-44384.5
1546,-44679.5
1547,-44674.5
1548,-44449.5
1549,-43690.0
1550,-43490.5
1551,-43402.0
1552,-45016.0
1553,-46801.0
1554,-49800.5
1555,-48646.5
1556,-45639.0
1557,-42000.5
1558,-37526.5
1559,-33421.0
1560,-32840.0
1561,-32266.0
1562,-31644.5
1563,-31008.0
1564,-30172.0
1565,-31415.5
1566,-36606.5
1567,-42413.5
1568,-44351.5
1569,-45279.0
1570,-44880.5
1571,-44701.5
1572,-44338.5
