,Z1_1,Z1_2,Z1_3,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
43,-31.58706416264175,-24.646579082608966,-256.1178464405038,-770.7885037207499,-5826.028358019054,-3395.1383112497388,-4391.92441415551,-7677.6079208112205,-1258.8073679994407,-2815.882460078947,-2011.3040632015257,-477.3603981480911,-643.8773800574457,-82.59535928108086,-1667.020602688099,-235.15845397907958,-1621.1887746917455,-3539.444219363807,-5551.021922868726
44,-29.702038726361337,-23.17574189910894,-240.8334675966888,-724.7900554944487,-5478.3476875138895,-3192.5261899255565,-4129.826955769504,-7219.430290057113,-1183.6853529923426,-2647.838667357542,-1891.275202662056,-448.87289807056436,-605.4526238659743,-77.66630502134063,-1567.5375920895044,-221.1248715915397,-1524.4408761985214,-3328.220335135674,-5219.752848032281
45,-27.5820388549996,-21.521560167764765,-223.64384216294903,-673.0577539319713,-5087.327512104296,-2964.6578212147497,-3835.0582129354607,-6704.1393557468555,-1099.1991391268486,-2458.8476797051503,-1756.28436168673,-416.8343402148443,-562.2380992154391,-72.12282842125627,-1455.6537068047198,-205.34195838319863,-1415.6330434698166,-3090.6667197978522,-4847.1900260551065
46,-25.06680376532936,-19.55898649425988,-203.24952532676065,-611.6809105099171,-4623.408773596316,-2694.307561033276,-3485.3352269439874,-6092.7818472515355,-998.962015257885,-2234.6227775265493,-1596.1269463057847,-378.82277897386393,-510.967016489086,-65.54587195458349,-1322.9111165628774,-186.6166095494083,-1286.5399795469318,-2808.825575820836,-4405.16967709082
47,-22.714444436701196,-17.72350061544504,-184.1758563653053,-554.2785663797112,-4189.531408917162,-2441.464016051435,-3158.2587910627594,-5521.013210537583,-905.2158146039618,-2024.9177115799216,-1446.3406334209162,-343.2726822659397,-463.0160276389679,-59.394810782648456,-1198.764363146439,-169.10383343083146,-1165.806424887433,-2545.23524704863,-3991.772656828218
48,-22.218345788389573,-17.336407516022124,-180.1533325633659,-542.1727520228883,-4098.02924275964,-2388.1408101222805,-3089.280308158159,-5400.430591900752,-885.4452961875079,-1980.6921553504278,-1414.7515872860736,-335.7753774496584,-452.9034481260321,-58.097588417025186,-1172.5825482286955,-165.41049268357563,-1140.3444333695968,-2489.6456080761845,-3904.589673993736
49,-21.568337017258397,-16.82922228033246,-174.88285709998144,-526.3112181517499,-3978.139356378547,-2318.274561389804,-2998.90187423195,-5242.438305433819,-859.5411530816119,-1922.7460199292536,-1373.362325031084,-325.95210156085614,-439.65353219793855,-56.39791453435615,-1138.2780618153877,-160.57132634304463,-1106.9830890615885,-2416.809785928553,-3790.358958532892
50,-20.89404630927462,-16.303090469746348,-169.41549605894173,-509.85715571645983,-3853.7708248165527,-2245.798366583988,-2905.1472344406816,-5078.544008265535,-832.6693264688868,-1862.6352300239553,-1330.4269121746147,-315.76186421643763,-425.90864814609427,-54.63474708710464,-1102.692085967099,-155.55138654726392,-1072.375487638626,-2341.2530853673597,-3671.861003701386
51,-20.091621688360966,-15.67697904086048,-162.90918496966015,-490.27636562726144,-3705.768827146103,-2159.5496871142414,-2793.576616007637,-4883.505254627045,-800.6911084278153,-1791.1017249178167,-1279.3325815287994,-303.6351994985368,-409.551855379689,-52.53652898367183,-1060.3437889465322,-149.5775191337808,-1031.1914832859813,-2251.338518716145,-3530.845154960069
52,-19.418451685155002,-15.151721687577277,-157.45091095528153,-473.8496506641629,-3581.607002284766,-2087.1939513579637,-2699.977801102449,-4719.88335795267,-773.8639441307898,-1731.0908421425547,-1236.4685294693218,-293.4618988366853,-395.82981601047936,-50.77629200863183,-1024.8169587644736,-144.56592272824238,-996.6414014221704,-2175.9073971586545,-3412.544149637977
